挨	ái	to endure, to suffer
本能	běn néng	instinct
本钱	běn qián	capital (money)
本人	běn rén	I, myself, oneself, personal
本身	běn shēn	itself, in itself
本事	běn shi	ability, skill
本着	běn zhe	based on, in line with
笨拙	bèn zhuō	clumsy
甭	béng	need not (short for 不用)
蹦	bèng	to jump
迸发	bèng fā	to burst out, to gush, to spurt
崩溃	bēng kuì	breakdown, to break down, to collapse
臂	bì	arm
弊病	bì bìng	disadvantage, malpractice, ulcer
必定	bì dìng	be sure to, certainly, undoubtedly
弊端	bì duān	malpractice, abuse
比方	bǐ fang	analogy, instance
逼迫	bī pò	to force, to compel
闭塞	bì sè	to block, to close up, to stop up, inaccessible, unenlightened
鼻涕	bí tì	nasal mucus, snot
比喻	bǐ yù	metaphor
碧玉	bì yù	jasper
比重	bǐ zhòng	proportion, specific weight
扁	biǎn	flat
遍布	biàn bù	to be found throughout
鞭策	biān cè	to urge on
贬低	biǎn dī	to belittle, to degrade, to depreciate
变故	biàn gù	accident, unforeseen event
辩护	biàn hù	to speak in defense of, to defend
边疆	biān jiāng	border area
边界	biān jiè	border, boundary
辩解	biàn jiě	to provide an explanation, to justify, to defend
边境	biān jìng	border, frontier
便利	biàn lì	convenient, easy
变迁	biàn qiān	changes, vicissitudes
辨认	biàn rèn	to recognize, to identify
便条	biàn tiáo	(informal) note
贬义	biǎn yì	derogatory sense
便于	biàn yú	easy, convenient
边缘	biān yuán	edge, fringe, brink
辩证	biàn zhèng	dialectical, not good and not bad
编织	biān zhī	to weave, to knit, to plait
变质	biàn zhì	metamorphosis, to go bad, to deteriorate
辫子	biàn zi	queue, plait, pigtail
标本	biāo běn	specimen, sample
标记	biāo jì	sign, mark, to mark up
表决	biǎo jué	to decide by vote, to vote
飙升	biāo shēng	to rise rapidly
表态	biǎo tài	to declare one's position
标题	biāo tí	title, heading, caption
表彰	biǎo zhāng	to commend, to honour
憋	biē	to hold back, to restrain, to suppress feelings
别扭	biè niu	awkward (speech), difficult (personality), uncomfortable
别墅	bié shù	villa
别致	bié zhì	unusual, unconventional, original
濒临	bīn lín	on the verge of, close to
冰雹	bīng báo	hail
并存	bìng cún	to coexist
并非	bìng fēi	really not, not so
并列	bìng liè	to stand side by side, to be juxtaposed
拨打	bō dǎ	to call, to dial
博大精深	bó dà jīng shēn	wide-ranging and profound
搏斗	bó dòu	combat, fight, to fight, to struggle, to wrestle
播放	bō fàng	to broadcast, to transmit
博览会	bó lǎn huì	exhibition, international fair
波浪	bō làng	wave
伯母	bó mǔ	aunt (wife of father's elder brother)
薄弱	bó ruò	weak, frail
波涛汹涌	bō tāo xiōng yǒng	turbulent, rough (wind, sea, etc.)
剥削	bō xuē	exploitation, to exploit
播种	bō zhòng	seed, to sow
补偿	bǔ cháng	compensation, to compensate, to make up
不得已	bù dé yǐ	to have no alternative but to
步伐	bù fá	pace, step, march
不妨	bù fáng	might as well
不敢当	bù gǎn dāng	You flatter me!
布告	bù gào	notice, bulletin, to announce
不顾	bú gù	to ignore, to disregard, in spite of, regardless of
不禁	bù jīn	can't help, can't refrain from
补救	bǔ jiù	to remedy, to redeem
布局	bù jú	arrangement, composition
不堪	bù kān	can't bear, can't stand, utterly, extremely
不可思议	bù kě sī yì	unbelievable!
不愧	bú kuì	be worthy of, creditably
不料	bú liào	unexpectedly
哺乳	bǔ rǔ	to suckle, to breast-feed
不时	bù shí	now and then, from time to time
部署	bù shǔ	to dispose, to deploy
补贴	bǔ tiē	subsidy, allowance
部位	bù wèi	position, place, section
不惜	bù xī	to not hesitate to
不像话	bú xiàng huà	unreasonable, shocking, outrageous
不相上下	bù xiāng shàng xià	about the same
不屑一顾	bú xiè yí gù	to disdain as beneath contempt
不言而喻	bù yán ér yù	to goe without saying, to be self-evident
不由得	bù yóu de	can't help, cannot but
不择手段	bù zé shǒu duàn	by hook or by crook
不止	bù zhǐ	without end, more than, not limited to
布置	bù zhì	to fix up, to arrange, to decorate
捕捉	bǔ zhuō	to catch
裁缝	cái feng	tailor, to sew
财富	cái fù	wealth, riches
才干	cái gàn	ability, competence, talent
采购	cǎi gòu	to procure, to purchase
采集	cǎi jí	to gather, to collect
采纳	cǎi nà	to accept, to adopt
裁判	cái pàn	judgment, referee, judge, umpire, to act as referee
彩票	cǎi piào	lottery, lottery ticket
财务	cái wù	financial affairs
裁员	cái yuán	to cut staff, to lay off employees
财政	cái zhèng	finance, public finances
残酷	cán kù	cruelty, crueal, brutal
灿烂	càn làn	bright, splendid, brilliant
残留	cán liú	to remain, to be left over
参谋	cān móu	staff officer, advisor, to give advice
残忍	cán rěn	cruel, merciless, brutal
参照	cān zhào	reference, to refer to, to consult
舱	cāng	cabin, hold
苍白	cāng bái	pale, wan
仓促	cāng cù	hurried, hasty
仓库	cāng kù	storehouse, warehouse, depot
草案	cǎo àn	draft
操劳	cāo láo	to work hard, to look after
操练	cāo liàn	drill, exercise, to drill, to practice
草率	cǎo shuài	careless, hasty, sloppy
嘈杂	cáo zá	noisy, rackety
操纵	cāo zòng	to operate, to control, to handle
操作	cāo zuò	operation, handling, to work, to operate, to manipulate
策划	cè huà	to plan, to plot, to engineer
测量	cè liáng	to measure, to survey
策略	cè lüè	tactics
侧面	cè miàn	side, flank, lateral
层出不穷	céng chū bù qióng	to emerge in an endless stream
层次	céng cì	arrangement of ideas, administrative level
岔	chà	fork in the road, to diverge
查获	chá huò	to hunt down and seize
差距	chā jù	disparity, gap, difference
刹那	chà nà	in an instant, split second
诧异	chà yì	astonished, surprised
柴油	chái yóu	diesel fuel
搀	chān	to assist by the arm, to support, to mix
馋	chán	greedy, gluttonous
颤抖	chàn dǒu	to shudder, to shiver
缠绕	chán rào	to twine, to wind, to bother
阐述	chǎn shù	to expound
产业	chǎn yè	industry, property, industrial
倡导	chàng dǎo	to initiate, to advocate
场合	chǎng hé	situation, occasion
偿还	cháng huán	to reimburse, to repay
敞开	chǎng kāi	to open wide
猖狂	chāng kuáng	savage, furious
场面	chǎng miàn	scene, occasion
常年	cháng nián	throughout the year
昌盛	chāng shèng	prosperous
尝试	cháng shì	try, attempt, to try, to attempt
场所	chǎng suǒ	location, place
畅通	chàng tōng	unblocked, free-flowing
常务	cháng wù	routine, everyday business
畅销	chàng xiāo	to sell well
倡议	chàng yì	proposal, initiative, to suggest, to initiate
超级	chāo jí	super-
潮流	cháo liú	tide, current, trend
钞票	chāo piào	paper money, bill
潮湿	cháo shī	wet, damp, moist
嘲笑	cháo xiào	to make fun of, to mock
超越	chāo yuè	to surpass, to exceed
撤退	chè tuì	to withdraw, to retreat
撤销	chè xiāo	to repeal, to revoke
沉淀	chén diàn	sediment, deposit, to settle, to precipitate
陈旧	chén jiù	old, old-fashioned, antiquated
陈列	chén liè	to display, to exhibit
沉闷	chén mèn	oppressive, depressing, dull
陈述	chén shù	to state, to declare, to make a statement
沉思	chén sī	to ponder, to muse, to mediate, to contemplate
称心如意	chèn xīn rú yì	to have everything one could wish for
沉重	chén zhòng	heavy, serious
沉着	chén zhuó	composed, cool headed, calm
橙	chéng	orange (fruit), orange (colour)
盛	chéng	to hold, to fill
秤	chèng	steelyard
承办	chéng bàn	to undertake, to accept a contract
承包	chéng bāo	to contract, to undertake
城堡	chéng bǎo	castle
成本	chéng běn	costs (production, etc.)
惩罚	chéng fá	punishment, to punish
称号	chēng hào	title, term of address
成交	chéng jiāo	to reach a deal, to complete a contract
承诺	chéng nuò	promise, commitment, to promise, to agree to
澄清	chéng qīng	to clarify, clear, limpid
成天	chéng tiān	all day long
乘务员	chéng wù yuán	train manager, stewardess
呈现	chéng xiàn	to appear, to show, to present
成效	chéng xiào	effect, result
成心	chéng xīn	on purpose, deliberately
成员	chéng yuán	member
诚挚	chéng zhì	sincere, cordial, earnest
赤道	chì dào	equator
迟缓	chí huǎn	slow, sluggish, tardy
持久	chí jiǔ	lasting, persistent, enduring
吃苦	chī kǔ	to bear hardships, to suffer
吃力	chī lì	strenuous, requiring effort
池塘	chí táng	pool, pond
迟疑	chí yí	to hesitate
赤字	chì zì	deficit (financial)
崇拜	chóng bài	adoration, to adore, to worship
充当	chōng dāng	to serve as, to act as
重叠	chóng dié	overlap, redundancy, to overlap
冲动	chōng dòng	impulse
崇高	chóng gāo	lofty, sublime
冲击	chōng jī	shock, strike, attack, impact
崇敬	chóng jìng	respect, to revere, to respect
充沛	chōng pèi	abundant, plentiful
充实	chōng shí	to enrich, to replenish, substantial, rich
冲突	chōng tū	conflict, clash, to conflict, to clash
重阳节	Chóng yáng jié	Chong Yang festival
充足	chōng zú	adequate, sufficient, abundant
筹备	chóu bèi	preparation, to get ready for, to prepare
踌躇	chóu chú	to hesitate
丑恶	chǒu è	ugly, repulsive
抽空	chōu kòng	to find the time to do sth.
稠密	chóu mì	thick, dense, intimate
储备	chǔ bèi	reserves, to store up
初步	chū bù	initial, preliminary
储存	chǔ cún	storage, deposition, to store up, to stockpile
触犯	chù fàn	to offend, to violate
处分	chǔ fèn	punishment, to punish, to discipline
处境	chǔ jìng	plight, (unfavourable) situation
出路	chū lù	way out (of difficulty)
出卖	chū mài	to sell, to sell out, to betray
出身	chū shēn	family background, origin
出神	chū shén	to be lost in thought
出息	chū xi	promise, prospects
储蓄	chǔ xù	savings, to deposit money, to save
出洋相	chū yáng xiàng	to make a fool of oneself
处置	chǔ zhì	to handle, to deal with, to punish
串	chuàn	to string together, to connect Measure, for rows, strings, skewers etc.
船舶	chuán bó	ships, boats
传达	chuán dá	to pass on, to transmit
传单	chuán dān	leaflet, flier
川流不息	chuān liú bù xī	to flow in an endless stream
喘气	chuǎn qì	to pant, to gasp, to breathe deeply
传授	chuán shòu	to pass on, to teach, to impart
穿越	chuān yuè	to pass though, to cross
床单	chuáng dān	bed sheet
创立	chuàng lì	to found, to establish
创新	chuàng xīn	innovation, to bring forth new ideas, to innovate
创业	chuàng yè	to start an enterprise, to do pioneering work
创作	chuàng zuò	creation, creative work, to create, to produce, to write
锤	chuí	hammer, to hammer
吹牛	chuī niú	to brag, to boast
吹捧	chuī pěng	to flatter, to lavish praise on
垂直	chuí zhí	vertical, perpendicular
纯粹	chún cuì	pure, simple, absolute
纯洁	chún jié	to purify, pure, chaste, honest
刺	cì	thorn, splinter, to stab
伺候	cì hòu	to serve, to wait on
词汇	cí huì	vocabulary, words and phrases
次品	cì pǐn	substandard products, defective goods
慈祥	cí xiáng	kind
雌雄	cí xióng	male and female
次序	cì xù	suquence, order
丛	cóng	collection, tussock, thicket Measure, for some plants
从容不迫	cóng róng bù pò	calm, unhurried
凑合	còu he	to gather together, to improvise, passable, not too bad
粗鲁	cū lǔ	rude, rough, impolite
窜	cuàn	to flee, to escape
摧残	cuī cán	to devastate, to ruin
脆弱	cuì ruò	flimsy, weak, frail
搓	cuō	to rub the hands together
磋商	cuō shāng	consultation, to consult, to discuss, to negotiate
挫折	cuò zhé	setback, reverse, defeat
搭	dā	to put up, to build, to take (boat, bus, train, etc.)
打包	dǎ bāo	to pack, to wrap
答辩	dá biàn	plea (law), to reply to a charge
大不了	dà bu liǎo	at worst, if worst comes to worst
大臣	dà chén	minister (in monarchy)
达成	dá chéng	to reach (agreement), to accomplish
搭档	dā dàng	partner, to cooperate, to work together
答复	dá fù	to answer, to reply
打官司	dǎ guān si	to sue, to go to court
大伙儿	dà huǒ r	everyone, all of us
打击	dǎ jī	blow, hit, to strike, to hit, to attack
打架	dǎ jià	fight, fistfight, to fight, to scuffle
打量	dǎ liang	to take measure of, to suppose, to reckon
打猎	dǎ liè	hunt, to go hunting
搭配	dā pèi	to arrange, to match
大厦	dà shà	large building, mansion
大肆	dà sì	wantonly, without restraint
大体	dà tǐ	in general, roughly, more or less
大意	dà yi	general idea, main idea
打仗	dǎ zhàng	to go to war, to fight, to make war
大致	dà zhì	roughly, more or less
逮捕	dài bǔ	arrest, to arrest, to apprehend
代价	dài jià	price, cost
代理	dài lǐ	agency, representation, to act on behalf of, to represent
带领	dài lǐng	to guide, to lead
怠慢	dài màn	to neglect, to slight
歹徒	dǎi tú	gangster, evil-doer
蛋白质	dàn bái zhì	protein
担保	dān bǎo	to assure, to guarantee, to vouch for
诞辰	dàn chén	birthday
淡季	dàn jì	off season
胆怯	dǎn qiè	timid, cowardly
诞生	dàn shēng	to be born, to be founded
淡水	dàn shuǐ	fresh water, potable water
党	dǎng	party, association, society
档案	dàng àn	file, record, archive
当场	dāng chǎng	on the spot, at the scene
当初	dāng chū	in the first place, originally
档次	dàng cì	grade, quality, level
当面	dāng miàn	face to face, in sbd.'s presence
当前	dāng qián	current, present
当事人	dāng shì rén	people concerned, party, client
当务之急	dāng wù zhī jí	matter of vital importance
当心	dāng xīn	to take, care, to watch out
当选	dāng xuǎn	to be elected, to win an election
倒闭	dǎo bì	to go bankrupt
导弹	dǎo dàn	guided missile
稻谷	dào gǔ	paddy, rice crops
导航	dǎo háng	navigation, to navigate
捣乱	dǎo luàn	to make trouble, to disturb
盗窃	dào qiè	steal, to steal
导向	dǎo xiàng	guide, guideline
岛屿	dǎo yǔ	islands
得不偿失	dé bù cháng shī	the game is not worth the candle
得力	dé lì	capable, competent
得天独厚	dé tiān dú hòu	blessed, gifted, rich, unique, advantageous
得罪	dé zuì	to offend, to displease, to commit an offense
蹬	dēng	to tread on, to step on
瞪	dèng	to stare, to open (one's eyes)
等级	děng jí	grade, rank
灯笼	dēng long	lantern
登陆	dēng lù	to land, to disembark, to log in
登录	dēng lù	to register, to login
堤坝	dī bà	dam
地步	dì bù	tight condition, plight, extent
抵达	dǐ dá	to arrive, to reach
抵抗	dǐ kàng	resistance, to resist, to fight back
敌视	dí shì	to be hostile to, to stand against
地势	dì shì	topography, terrain
递增	dì zēng	to increase progressively
抵制	dǐ zhì	to boycott, to resist, to reject
地质	dì zhì	geology
垫	diàn	pad, cushion, mat, to pad
颠簸	diān bǒ	to jolt, to bump
颠倒	diān dǎo	to turn upside down, reversed, inverted, confused
奠定	diàn dìng	to establish, to found
惦记	diàn jì	to be concerned about, keep thinking about
典礼	diǎn lǐ	celebration, ceremony
典型	diǎn xíng	typical case, model
电源	diàn yuán	electric power source
点缀	diǎn zhuì	to intersperse, to embellish, to decorate
叼	diāo	to hold by the teeth or lips
吊	diào	to hang, to suspend, to express condolence to
调动	diào dòng	to transfer, to maneuver (troops, etc.)
雕刻	diāo kè	carving, to carve, to engrave
雕塑	diāo sù	statue, sculpture, to carve
跌	diē	to drop, to fall down
盯	dīng	to gaze at, fix one's eyes on, to watch attentively
定期	dìng qī	regular, periodical
定义	dìng yì	definition
叮嘱	dīng zhǔ	to exhort repeatedly, to urge
丢人	diū rén	to lose face
丢三落四	diū sān là sì	forgetful, scatterbrained
栋	dòng	Measure, for houses, buildings
动荡	dòng dàng	turbulence, unrest (political), upheaval
东道主	dōng dào zhǔ	host
动机	dòng jī	motive, intention, motivation
冻结	dòng jié	to freeze (loan, price, etc.), to block
动静	dòng jing	sound of movement, activity, happening
动力	dòng lì	power, driving force, motive power
动脉	dòng mài	artery
动身	dòng shēn	to leave, to go on a journey
董事长	dǒng shì zhǎng	chairman of the board, president
动手	dòng shǒu	to start work, to begin, to hit with hands
动态	dòng tài	developments, trends
洞穴	dòng xué	cave, cavern
动员	dòng yuán	mobilization, to mobilize, to arouse
东张西望	dōng zhāng xī wàng	to peer in all directions, to look around
兜	dōu	pocket, bag, to wrap up (in clothes)
陡峭	dǒu qiào	steep, cliffy, precipitous
斗争	dòu zhēng	struggle, fight, to fight, to combat, to battle
赌博	dǔ bó	gambling, to gamble, to bet
独裁	dú cái	dictatorship, autocracy
督促	dū cù	to urge sbd. to do sth.
杜绝	dù jué	to put an end to, to eliminate
毒品	dú pǐn	drugs, narcotics, dope
堵塞	dǔ sè	blockage, to cause an obstruction, to stop
都市	dū shì	city, metropolis
端	duān	extremity, end, point, to carry
短促	duǎn cù	short, brief (time)
断定	duàn dìng	to conclude, to come to a judgement
断断续续	duàn duàn xù xù	off and on, intermittently
断绝	duàn jué	to sever, to break off
端午节	Duān wǔ jié	Dragon Boat Festival
端正	duān zhèng	upright, regular
对策	duì cè	countermeasure
对称	duì chèn	symmetry, symmetrical
对付	duì fu	to deal with, to cope with
兑换	duì huàn	to convert, to exchange
堆积	duī jī	to pile up, to accumulate
对抗	duì kàng	resistance, confrontation, to withstand, to resist
对立	duì lì	to oppose, opposite, opposing
对联	duì lián	rhyming couplet
队伍	duì wu	troops, ranks
兑现	duì xiàn	to cash (cheque, etc.)
对应	duì yìng	to correspond, corresponding, homologous
对照	duì zhào	comparison, to compare, to contrast
顿时	dùn shí	at once, immediately, suddenly
堕落	duò luò	to degenerate, to corrupt
哆嗦	duō suo	to tremble, to shiver, to quiver
多元化	duō yuán huà	diversification, pluralism
恶化	è huà	to worsen
额外	é wài	extra, additional
恶心	ě xin	nausea, to feel sick
遏制	è zhì	to keep within limits, not letting the impact be too big
恩怨	ēn yuàn	feeling of gratitude or resentment (at the same time)
耳环	ěr huán	earring
二氧化碳	èr yǎng huà tàn	carbon dioxide, CO2
而已	ér yǐ	that's all, nothing more
发布	fā bù	to release, to issue
发财	fā cái	to get rich
发呆	fā dāi	to be lost in thought, to look absent-minded
发动	fā dòng	to start, to launch, to arouse
发火	fā huǒ	to catch fire, to ignite, to get angry
发觉	fā jué	to become aware, to find, to discover
法人	fǎ rén	legal person
发射	fā shè	to start, to fire, to launch
发誓	fā shì	to vow, to swear
发行	fā xíng	to publish, to issue, to distribute, to release
发炎	fā yán	inflammation, to inflame, inflamed
发扬	fā yáng	to develop, to enhance
发育	fā yù	development, growth, to develop
番	fān	to take turns Measure, times
反驳	fǎn bó	to retort, to refute
反常	fǎn cháng	unusual, abnormal
范畴	fàn chóu	category
反倒	fǎn dào	on the contrary, instead
反动	fǎn dòng	reactionary
反感	fǎn gǎn	resentment, antipathy, disfavour
繁华	fán huá	flourishing
反抗	fǎn kàng	to resist, to rebel
反馈	fǎn kuì	feedback
泛滥	fàn làn	to flood, to overflow, to spread unchecked
贩卖	fàn mài	to sell, to peddle
繁忙	fán máng	busy
反面	fǎn miàn	the other side, reverse side
反射	fǎn shè	reflection, to reflect, to reflex
反思	fǎn sī	to rethink, to think over again
繁体字	fán tǐ zì	traditional character
反问	fǎn wèn	rhetorical question, counter question
繁殖	fán zhí	to breed, to reproduce
反之	fǎn zhī	on the other hand, conversely
放大	fàng dà	to enlarge, to magnify
放射	fàng shè	radiation, emission, to radiate, to emit
防守	fáng shǒu	to defend, to protect
放手	fàng shǒu	to let go
方位	fāng wèi	direction, position
方言	fāng yán	dialect
防疫	fáng yì	disease prevention, protection against epidemic
防御	fáng yù	defense, to defend, to guard
方针	fāng zhēn	policy, guidelines
防止	fáng zhǐ	to prevent, to avoid
防治	fáng zhì	prevention and cure
纺织	fǎng zhī	spinning and weaving
诽谤	fěi bàng	to slander, to libel, to defame
废除	fèi chú	to abolish, to cancel, to abrogate
非法	fēi fǎ	illegal
飞禽走兽	fēi qín zǒu shòu	birds and animal
沸腾	fèi téng	to boil, to reach ebullition
匪徒	fěi tú	gangster, bandit
肥沃	féi wò	fertile
飞翔	fēi xiáng	to fly
废墟	fèi xū	ruins
飞跃	fēi yuè	to leap, to jump
分辨	fēn biàn	to distinguish, to defend oneself against an accusation
分寸	fēn cun	judgement for propriety, propriety
吩咐	fēn fù	to instruct, to tell, to command
分红	fēn hóng	bonus, dividend, to draw dividend
分解	fēn jiě	to resolve, to break down, to decompose
分量	fèn liàng	weight, quantity
分裂	fēn liè	fission, to split, to divide
分泌	fēn mì	to secrete
分明	fēn míng	clearly demarcated, distinct
粉末	fěn mò	powder, dust
坟墓	fén mù	tomb
分歧	fēn qí	differences, discrepancy
分散	fēn sàn	to disperse, to scatter
粉色	fěn sè	light pink
分手	fēn shǒu	to break up
粉碎	fěn suì	to break, to smash, to shatter
逢	féng	to meet by chance, to come across
风暴	fēng bào	storm
封闭	fēng bì	to seal, to close, to confine
风度	fēng dù	poise, grace, style
风光	fēng guāng	scene, sight, landscape, good reputation
封建	fēng jiàn	feudalism, feudal
锋利	fēng lì	sharp (e.g. knife)
丰满	fēng mǎn	plump, well-rounded, plentiful
风气	fēng qì	common practice, atmosphere
风趣	fēng qù	humor, humorous, witty
丰盛	fēng shèng	rich, sumptuous
丰收	fēng shōu	have a good harvest
封锁	fēng suǒ	to blockade, to seal off
风土人情	fēng tǔ rén qíng	local conditions and customs
风味	fēng wèi	flavor or style typical for a region
奉献	fèng xiàn	dedication, to dedicate, to devote
否决	fǒu jué	veto, to veto, to reject, to overrule
副	fù	deputy, vice- Measure, for pairs, sets, etc.
腐败	fǔ bài	corruption, corrupt, rotten
负担	fù dān	burden, to bear a burden
幅度	fú dù	range, extent
夫妇	fū fù	(married) couple, husband and wife
覆盖	fù gài	to cover, to lay over
符号	fú hào	symbol, mark, sign
附和	fù hè	to repeat what others say, to echo
复活	fù huó	resurrection, to bring back to life, to revive
附件	fù jiàn	enclosure, attachment, appendix
腐烂	fǔ làn	to rot, to perish
福利	fú lì	well-being; welfare
俘虏	fú lǔ	captive, prisoner, to capture, to arrest
服气	fú qì	to be convinced, to accept
福气	fú qi	good fortune, felicity
夫人	fū rén	lady, madam
辐射	fú shè	radiation, to radiate
腐蚀	fǔ shí	corrosion, corruption, to corrode, to rot, to corrupt
附属	fù shǔ	subsidiary, subordinate, attached
腹泻	fù xiè	diarrhea, to have the runs
复兴	fù xīng	rebirth, to revive, to renew
腐朽	fǔ xiǔ	rotten, decayed
敷衍	fū yǎn	to do sth. half-heartedly, to elaborate on
抚养	fǔ yǎng	to foster, to bring up
俯仰	fǔ yǎng	bend over, forward or down to watch
赋予	fù yǔ	to assign, to give, to endow
富裕	fù yù	richness, affluence, prosperous, rich, affluent
辅助	fǔ zhù	auxiliary, to assist
副作用	fù zuò yòng	side effect
改良	gǎi liáng	to improve
盖章	gài zhāng	to affix a seal, to stamp
尴尬	gān gà	embarrassed, awkward
干旱	gān hàn	drought, arid, dry
干劲	gàn jìn	enthusiasm, vigor, drive
感慨	gǎn kǎi	to sigh with emotion
感染	gǎn rǎn	infection, to infect, to influence
干扰	gān rǎo	obstruction, to interfere, to disturb
干涉	gān shè	interference, to interfere, to intervene
甘心	gān xīn	to resign oneself to, willingly, readily
干预	gān yù	intervention, to intervene, to meddle
杠杆	gàng gǎn	lever
港口	gǎng kǒu	port, harbour
纲领	gāng lǐng	guiding principle, program
港湾	gǎng wān	natural harbour, bay
岗位	gǎng wèi	post, position, station
高超	gāo chāo	excellent, outstanding, superb
高潮	gāo cháo	high tide, upsurge, climax, orgasm
告辞	gào cí	to take leave, to bid farewell
高峰	gāo fēng	peak, summit
稿件	gǎo jiàn	manuscript, rough draft
告诫	gào jiè	warning, admonition, to warn, to admonish
高考	gāo kǎo	college entrance exam
高明	gāo míng	wise, brilliant, bright
高尚	gāo shàng	nobly, lofty, sublime
高涨	gāo zhǎng	upsurge, wave, to run high, to rise
割	gē	to cut, to cut apart
搁	gē	to place, to put, to put aside
疙瘩	gē da	lump, pimple, spot
隔阂	gé hé	estrangement, barrier
格局	gé jú	layout, structure, pattern
隔离	gé lí	to seperate, to isolate
格式	gé shi	format, specification
各抒己见	gè shū jǐ jiàn	everyone gives their own view
歌颂	gē sòng	to sing the praise of, to extol
个体	gè tǐ	individual, individuality, individual
跟前	gēn qián	in front of
根深蒂固	gēn shēn dì gù	deep-rooted, ineradicable
跟随	gēn suí	to follow
根源	gēn yuán	origin, root, source
跟踪	gēn zōng	to tail, to run after, to follow
耕地	gēng dì	arable land, cultivated land
更新	gēng xīn	to replace, to renew, to update
更正	gēng zhèng	correction, to correct, to make a correction
公安局	gōng ān jú	Public Security Bureau
供不应求	gōng bú yìng qiú	supply does not meet demand
公道	gōng dao	justice, fair, just
宫殿	gōng diàn	palace
工夫	gōng fu	labour, work, time skill, Kung Fu
公告	gōng gào	announcement, bulletin
巩固	gǒng gù	consolidation, to consolidate, to solidify
公关	gōng guān	public relations
共和国	gòng hé guó	republic
攻击	gōng jī	attack, to attack, to accuse
供给	gōng jǐ	to supply, to furnish, to provide
共计	gòng jì	total, to total, to count up
恭敬	gōng jìng	deferential, respectful
功课	gōng kè	homework
攻克	gōng kè	to capture, to take, to seize
功劳	gōng láo	contribution, credit, meritorious service
