唉	āi	uh (sigh)
公开	gōng kāi	to publish, to make public, public
功能	gōng néng	function, feature
公平	gōng píng	fair, impartial
工人	gōng rén	worker
贡献	gòng xiàn	contribution, to contribute, to dedicate
工业	gōng yè	industry
公寓	gōng yù	block of flats
公元	gōng yuán	Christian era
公主	gōng zhǔ	princess
构成	gòu chéng	to compose, to constitute, to configure (IT)
沟通	gōu tōng	to communicate
古代	gǔ dài	ancient times
古典	gǔ diǎn	classical
固定	gù dìng	to fasten, to fix, fixed, set, regular
姑姑	gū gu	aunt (paternal)
古老	gǔ lǎo	ancient, age-old
姑娘	gū niang	girl, young woman, daughter
股票	gǔ piào	share, stock
固体	gù tǐ	solid (body)
骨头	gǔ tou	bone, strong character
鼓舞	gǔ wǔ	encouragement, to inspire, to animate
雇佣	gù yōng	to employ, to hire
挂号	guà hào	to register
乖	guāi	obedient, well-behaved, clever, good
怪不得	guài bu de	no wonder so that is why
拐弯	guǎi wān	to turn a corner, to change direction
官	guān	officer, government official
关闭	guān bì	to close, to shut
观察	guān chá	observation, to observe, to watch, to survey
观点	guān diǎn	point of view, viewpoint, standpoint
关怀	guān huái	care, solicitude, to care for, to show solicitude for
冠军	guàn jūn	champion
观念	guān niàn	concept, idea, thought
罐头	guàn tou	tin, can
管子	guǎn zi	tube, pipe
广场	guǎng chǎng	public square
广大	guǎng dà	vast, extensive, widespread
广泛	guǎng fàn	extensive, wide ranging
光滑	guāng huá	smooth, sleek, glossy
光临	guāng lín	to visit as honorable guest
光明	guāng míng	light, radiance, light, bright
光盘	guāng pán	CD, DVD
光荣	guāng róng	honor, glory, glorious, honorable
规矩	guī ju	rule, custom, manner, practices
规律	guī lǜ	law, regular pattern
规模	guī mó	scale, scope, size, extent
柜台	guì tái	(sales) counter, bar
规则	guī zé	rule, regulation
滚	gǔn	to boil, to roll
锅	guō	pot, pan
过分	guò fèn	excessive, undue
国籍	guó jí	nationality, citizenship
过敏	guò mǐn	allergy, to be allergic
过期	guò qī	to expire, to exceed the time limit
国庆节	Guó qìng jié	National Day (October 1st)
果实	guǒ shí	fruits, gains
哈	hā	haha, laughter
海关	hǎi guān	customs
海鲜	hǎi xiān	seafood
喊	hǎn	to shout, to yell
行业	háng yè	business, industry, profession
豪华	háo huá	luxurious
好奇	hào qí	curious, inquisitive
何必	hé bì	there is no need to
合法	hé fǎ	legal, legitimate
何况	hé kuàng	let alone
合理	hé lǐ	reasonable, rational
和平	hé píng	peace
合同	hé tong	contract
核心	hé xīn	core
合影	hé yǐng	group photo
合作	hé zuò	cooperation, to cooperate, to work together
恨	hèn	hate, to hate
横	héng	horizontal, across
后果	hòu guǒ	consequence, aftermath
壶	hú	pot Measure, for bottled liquid
蝴蝶	hú dié	butterfly
忽视	hū shì	to neglect, to ignore, to overlook
胡说	hú shuō	to talk nonsense
胡同	hú tòng	lane, alley
糊涂	hú tu	confused, muddled
呼吸	hū xī	to breathe
胡须	hú xū	beard
滑冰	huá bīng	skating, to skate
划船	huá chuán	rowing, rowing boat, to row a boat
花生	huā shēng	peanut
话题	huà tí	topic
化学	huà xué	chemistry
华裔	huá yì	ethnic Chinese (but non-Chinese citizen)
怀念	huái niàn	to cherish the memory of, to think of
缓解	huǎn jiě	to ease, to blunt, to help relieve (a crisis)
幻想	huàn xiǎng	illusion, fantasy, to dream
皇帝	huáng dì	emperor
黄瓜	huáng guā	cucumber
皇后	huáng hòu	empress
黄金	huáng jīn	gold
慌张	huāng zhāng	confused, flustered
挥	huī	to wave, to brandish, to wipe away
灰	huī	ash, dust, gray
灰尘	huī chén	dust
恢复	huī fù	to recover, to restore
汇率	huì lǜ	exchange rate
灰心	huī xīn	to lose heart, to be discouraged
婚礼	hūn lǐ	wedding
婚姻	hūn yīn	wedding, marriage
伙伴	huǒ bàn	partner, companion, mate
火柴	huǒ chái	match (for fire)
活跃	huó yuè	active, vigorous
基本	jī běn	basic, fundamental
及格	jí gé	to pass a test
激烈	jī liè	intense, fierce
系领带	jì lǐng dài	to tie one's necktie
纪录	jì lù	record
记录	jì lù	record
纪律	jì lǜ	discipline
急忙	jí máng	hasty, in a hurry
寂寞	jì mò	lonely
纪念	jì niàn	commemoration, to commemorate
机器	jī qì	machine
肌肉	jī ròu	muscle
计算	jì suàn	calculation, to count, to calculate
集体	jí tǐ	collective
记忆	jì yì	memory, to remember
集中	jí zhōng	to concentrate, to focus
嫁	jià	to marry (woman -> men)
甲	jiǎ	first(ly)
嘉宾	jiā bīn	honoured guest
假如	jiǎ rú	if
驾驶	jià shǐ	to drive, to pilot
家庭	jiā tíng	family, household
家务	jiā wù	housework
家乡	jiā xiāng	hometown, native place
价值	jià zhí	value, worth
假装	jiǎ zhuāng	to pretend
夹子	jiā zi	clip, clamp, tongs
捡	jiǎn	to pick up, to gather
煎	jiān	to pan fry
肩膀	jiān bǎng	shoulder
剪刀	jiǎn dāo	scissors
艰巨	jiān jù	arduous, formidable
坚决	jiān jué	resolute, determined
艰苦	jiān kǔ	difficult, hard
建立	jiàn lì	to build, to establish
简历	jiǎn lì	CV, resume
键盘	jiàn pán	keyboard
坚强	jiān qiáng	strong
尖锐	jiān ruì	sharp, acute (illness)
建设	jiàn shè	construction, to build, to construct
健身房	jiàn shēn fáng	gym, gymnasium
建议	jiàn yì	suggestion, to suggest
简直	jiǎn zhí	simply, totally
建筑	jiàn zhù	building, architecture, to build, to construct
讲究	jiǎng jiu	to pay attention to, exquisite, tasteful
降落	jiàng luò	to descend, to land
酱油	jiàng yóu	soy sauce
讲座	jiǎng zuò	lecture
浇	jiāo	to water, to pour, to sprinkle
教材	jiào cái	teaching material
角度	jiǎo dù	angle, point of view
狡猾	jiǎo huá	sly, cunning, tricky
交换	jiāo huàn	exchange, to exchange, to swap, to switch
交际	jiāo jì	communication, social intercourse, socialize
教练	jiào liàn	sports coach, instructor
郊区	jiāo qū	suburbs
胶水	jiāo shuǐ	glue
教训	jiào xùn	lesson, to teach sb. a lesson
节	jié	festival, holiday, segmet, joint, part, to save, to economize Measure, for segments
届	jiè	to become due Measure, for events, meetings, etc.
接触	jiē chù	to touch, to contact, to get in touch with
接待	jiē dài	to receive (visitor)
阶段	jiē duàn	stage, section, phase
解放	jiě fàng	liberation, to liberate, to emancipate
结构	jié gòu	structure, makeup, composition
结合	jié hé	binding, to combine, to link, to integrate
接近	jiē jìn	to near, to approach, to be close to
借口	jiè kǒu	excuse, pretext
结论	jié lùn	conclusion
节省	jié shěng	to save, to economize, to use sparingly
结实	jiē shi	solid, durable, sturdy
解说员	jiě shuō yuán	commentator
戒烟	jiè yān	to give up smoking
结账	jié zhàng	to pay the bill
接着	jiē zhe	to follow, to carry on, then, after that
戒指	jiè zhi	ring (for finger)
紧	jǐn	thight, tense, urgent
进步	jìn bù	progress, improvement, to improve, make progress
近代	jìn dài	modern times
紧急	jǐn jí	urgent, pressing
进口	jìn kǒu	import, to import
尽力	jìn lì	to do all one can
尽量	jǐn liàng	to the best of one's ability
谨慎	jǐn shèn	cautious, prudent
金属	jīn shǔ	metal
敬爱	jìng ài	to respect and love
经典	jīng diǎn	classics, scriptures, classical
精力	jīng lì	energy
景色	jǐng sè	scenery, view, landscape
经营	jīng yíng	to run, to operate, to engage in (business, etc.)
救	jiù	to relieve, to rescue
酒吧	jiǔ bā	bar, pub
救护车	jiù hù chē	ambulance
舅舅	jiù jiu	uncle (maternal)
举	jǔ	to raise, to hold up, to elect
具备	jù bèi	to possess, to have
巨大	jù dà	huge enormous
聚会	jù huì	party, gathering, to party, to get together
俱乐部	jù lè bù	club
居然	jū rán	unexpectedly
据说	jù shuō	it is said, reportedly
具体	jù tǐ	concrete, specific
桔子	jú zi	tangerine
捐	juān	tax, contribution, to contribute, to donate, to give up
卷	juǎn	roll, to roll Measure, for roll, spool
绝对	jué duì	absolute, unconditional
决赛	jué sài	final (competition)
角色	jué sè	character (in a book, play, etc.)
决心	jué xīn	determination, resolution, to make up one's mind
军事	jūn shì	military affairs
均匀	jūn yún	even, homogeneous
卡车	kǎ chē	truck, lorry
开发	kāi fā	to develop (e.g. IT), to exploit (a resource)
开放	kāi fàng	to open up (for public, etc.)
开幕式	kāi mù shì	opening ceremony
开心	kāi xīn	to feel happy, to make fun of sb., happy
砍	kǎn	to chop, to cut down
看不起	kàn bu qǐ	to look down upon
看来	kàn lái	it seems, it appears
抗议	kàng yì	to protest
烤鸭	kǎo yā	roast duck
克	kè	to subdue, to restrain Measure, 1 gram
颗	kē	Measure, for grain, pearls, teeth, stars, etc.
课程	kè chéng	course, class
克服	kè fú	to overcome, to conquer, to put up with
客观	kè guān	objective, impartial
可见	kě jiàn	it is obvious that, it can clearly be seen that
可靠	kě kào	reliable, dependable
刻苦	kè kǔ	hardworking, assiduous
可怕	kě pà	awful, terrible
客厅	kè tīng	living room
恐怖	kǒng bù	terrble, fearful, frightening
空间	kōng jiān	space
空闲	kòng xián	leisure, idle
控制	kòng zhì	control, to control
口味	kǒu wèi	taste, flavour
夸	kuā	to praise, to boast
会计	kuài jì	accountant, accounting
矿泉水	kuàng quán shuǐ	mineral water
辣椒	là jiāo	hot pepper, chili
蜡烛	là zhú	candle
来自	lái zì	to come from
拦	lán	to block, to hinder
烂	làn	to rot, rotten, mushy, soft
狼	láng	wolf
老百姓	lǎo bǎi xìng	ordinary people
老板	lǎo bǎn	boss, owner
劳动	láo dòng	work, labour
劳驾	láo jià	excuse me
姥姥	lǎo lao	grandmother (mother's mum)
老实	lǎo shi	honest, sincere
老鼠	lǎo shǔ	rat, mouse
乐观	lè guān	optimistic, hopeful
雷	léi	thunder
类	lèi	sort, kind, category Measure, for sorts, types, categories, etc.
梨	lí	pear
粒	lì	grain Measure, for small roung things
礼拜天	lǐ bài tiān	Sunday
立方	lì fāng	cube
离婚	lí hūn	divorce, to divorce (from)
立即	lì jí	immediately, at once
立刻	lì kè	immediately, at once
力量	lì liàng	power, force, strength
理论	lǐ lùn	theory
厘米	lí mǐ	Measure, centimeter
利润	lì rùn	profit
利息	lì xī	interest (on a loan)
利益	lì yì	benefit
利用	lì yòng	to make use of, to utilize
理由	lǐ yóu	reason, justification
恋爱	liàn ài	love, to be in love, to have an affair
联合	lián hé	alliance, union, to unite, to join, combined, joint
连忙	lián máng	promptly, at once
连续剧	lián xù jù	(TV) series
良好	liáng hǎo	good, favorable, fine
粮食	liáng shi	food, cereals
了不起	liǎo bu qǐ	amazing, extraordnary
临时	lín shí	temporary
铃	líng	bell
领导	lǐng dǎo	leader, leadership, to lead
灵活	líng huó	flexible, agile, nimble
零件	líng jiàn	part, component
零钱	líng qián	change (money)
零食	líng shí	snack
领域	lǐng yù	field, domain, area, territory
流传	liú chuán	to spread, to circulate, to hand down
浏览	liú lǎn	to skim over, to browse, to surf (IT)
龙	lóng	dragon
漏	lòu	to leak
露	lù	dew, syrup, nectar, to uncover, to expose, to reveal
陆地	lù dì	land, dry land
录取	lù qǔ	to enroll, being admitted (e.g. university)
陆续	lù xù	one after another, bit by bit
录音	lù yīn	sound recording, to record
轮流	lún liú	to alternate, to take turns
论文	lùn wén	paper, thesis
落后	luò hòu	to fall behind, to lag
逻辑	luó ji	logic
骂	mà	abuse, to abuse, to curse
麦克风	mài kè fēng	microphone
馒头	mán tou	steamed bun
满足	mǎn zú	to satisfy
毛	máo	hair, down Measure, for 0.1 RMB
毛病	máo bìng	defect, fault, trouble
矛盾	máo dùn	contradiction, contradictory
冒险	mào xiǎn	to take a risk
贸易	mào yì	trade
魅力	mèi lì	charm, fascination
眉毛	méi mao	eyebrow
美术	měi shù	fine arts, art
煤炭	méi tàn	coal
蜜蜂	mì fēng	honeybee
迷路	mí lù	to get lost, to lose the way
秘密	mì mì	secret, secret, confidential
密切	mì qiè	close, intimate
秘书	mì shū	secretary
谜语	mí yǔ	riddle
面对	miàn duì	to face, to confront
棉花	mián hua	cotton
面积	miàn jī	area
面临	miàn lín	to face sth., to be confronted with
秒	miǎo	second
苗条	miáo tiao	slim, slender, graceful
描写	miáo xiě	description, to describe, to depict, to portray
民主	mín zhǔ	democracy, democratic
命令	mìng lìng	order, command, to order, to command
名牌	míng pái	famous brand
名片	míng piàn	(business) card
明确	míng què	clear, definite, explicit
名胜古迹	míng shèng gǔ jì	historical sites and scenic spots
明显	míng xiǎn	clear, obvious
明信片	míng xìn piàn	postcard
明星	míng xīng	star, celebrity
命运	mìng yùn	fate, destiny
摸	mō	to touch, to feel with the hand, to grope
模仿	mó fǎng	to imitate, to copy
模糊	mó hu	fuzzy, blurred, indistinct
陌生	mò shēng	strange, unfamiliar
摩托车	mó tuō chē	motorbike
某	mǒu	some, certain
目标	mù biāo	goal, target, objective
目录	mù lù	catalog, table of contents
目前	mù qián	at present, now
木头	mù tou	log of wood, blockhead
哪怕	nǎ pà	even if
难怪	nán guài	no wonder (that)
难看	nán kàn	ugly
脑袋	nǎo dai	head, skull, brain
内科	nèi kē	internal medicine
嫩	nèn	tender, soft, inexperienced
能干	néng gàn	able, capable, competent
能源	néng yuán	energy, energy source
念	niàn	to read aloud
年代	nián dài	decade, age, period
年纪	nián jì	age
宁可	nìng kě	would rather, preferably
牛仔裤	niú zǎi kù	jeans
浓	nóng	dense, concentrated, thick
农民	nóng mín	peasant, farmer
农业	nóng yè	agriculture, farming
女士	nǚ shì	lady, madam
偶然	ǒu rán	accidentally, by chance
派	pài	school, group, pi (π), to send, to assign
拍	pāi	to clap, to slap, to take (a photo)
排队	pái duì	to queue, to line up
排球	pái qiú	volleyball
盼望	pàn wàng	to hope for, to look forward to
赔偿	péi cháng	compensation, to compensate
佩服	pèi fu	to admire
配合	pèi hé	to coordinate, to cooperate, to fit
培养	péi yǎng	to train, to cultivate, to bring up
盆	pén	basin, tub, pot Measure, for approx. 128 liters
碰见	pèng jiàn	to run into, to bump into
匹	pǐ	ordinary person Measure, for horses and cloth
批	pī	to criticize Measure, for batches, lots, etc.
披	pī	to drape over one's shoulder, to crack
疲劳	pí láo	wariness, fatigue, tired, weary, exhausted
皮鞋	pí xié	leather shoes
批准	pī zhǔn	to approve, to ratify
片	piàn	thin piece, slice, film Measure, for movies, scenes, etc. pieces of things
片面	piàn miàn	unilateral, one-sided
飘	piāo	to flutter, to float (in the wind)
频道	pín dào	frequency, (TV) channel
品种	pǐn zhǒng	variety, breed
凭	píng	proof, to rely on, to lean against, according to, on the basis of
平	píng	flat, level, calm, peaceful
平常	píng cháng	ordinary, common, generally, usually
平等	píng děng	equality, equal
平方	píng fāng	square
平衡	píng héng	balance, equilibrium
评价	píng jià	to assess, to evaluate
平静	píng jìng	calm, quiet, tranquil
平均	píng jūn	average, average, mean
破产	pò chǎn	bankruptcy, to go bankrupt
破坏	pò huài	destruction, damage, to destroy, to break
迫切	pò qiè	urgent, pressing
朴素	pǔ sù	plain, simple
期待	qī dài	expectation, to look forward to
启发	qǐ fā	inspiration, enlightenment, to inspire, to enlighten
气氛	qì fēn	atmosphere, mood
奇迹	qí jì	miracle, wonder
期间	qī jiān	period of time, period
企图	qǐ tú	attempt, to attempt
企业	qǐ yè	enterprise, company
汽油	qì yóu	gas, gasoline
其余	qí yú	the rest, the others
欠	qiàn	to owe, deficient
浅	qiǎn	shallow, light
牵	qiān	to pull, to lead, to hold hands
前途	qián tú	prospect, future
谦虚	qiān xū	modest
签字	qiān zì	to sign (signature)
抢	qiǎng	to grab, to rob
枪	qiāng	gun, spear
